130	136	17680	18
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"CaO WT%"	"TiO2 WT%"	"K2O WT%"	"P2O5 WT%"	"FeO WT%"	"MnO WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-20.347	5.229	43	3	303	 68.7837	 14.1210	 2.25615	 1.97006	 4.43121	 .758766	 5.08609	 .174708	 1.22029	 .897738	 .000000	 99.6997
0	-20.3465	5.229	44	3	304	 65.5560	 13.2851	 2.76950	 1.98857	 4.58707	 1.64702	 6.18909	 .341022	 1.11827	 1.41081	 .000000	 98.8924
0	-20.346	5.229	45	3	305	 65.6036	 12.9832	 3.68293	 2.10300	 4.12917	 2.85395	 7.07018	 .152365	 1.24465	 1.52374	 .000000	 101.347
0	-20.3455	5.229	46	3	306	 64.4300	 13.2842	 3.27682	 2.24369	 4.02139	 3.25322	 7.66370	 .357392	 1.35303	 1.64719	 .000000	 101.531
0	-20.345	5.229	47	3	307	 66.8521	 14.9343	 3.22326	 2.01541	 3.82914	 1.64828	 6.85990	 .340768	 1.59101	 1.48774	 .000000	 102.782
0	-20.3445	5.229	48	3	308	 68.9786	 15.1750	 2.44172	 1.35056	 4.44743	 .678385	 4.85998	 .006332	 1.36113	 .895211	 .000000	 100.194
0	-20.344	5.229	49	3	309	 67.2168	 16.0906	 2.86196	 .963726	 3.96108	 .555496	 4.82335	 .175686	 1.88636	 .762865	 .000000	 99.2979
0	-20.3435	5.229	50	3	310	 67.0304	 16.1691	 2.93542	 1.19572	 3.90917	 .594924	 5.95064	 -.03235	 2.05169	 .642331	 .000000	 100.447
0	-20.343	5.229	51	3	311	 64.0689	 17.0180	 4.64648	 .863096	 3.47064	 1.88946	 6.91353	 .172111	 2.14062	 .763002	 .000000	 101.946
0	-20.3425	5.229	52	3	312	 61.7423	 19.9780	 4.89619	 1.21902	 2.69120	 1.72718	 6.89489	 .041382	 2.80044	 .742873	 .000000	 102.734
0	-20.342	5.229	53	3	313	 61.8840	 20.7332	 4.99070	 1.05186	 2.54234	 1.00094	 4.99591	 .081440	 3.36152	 .531604	 .000000	 101.174
0	-20.3415	5.229	54	3	314	 63.3421	 22.0102	 6.15016	 .584496	 2.41582	 .390611	 3.35850	 .121206	 3.83076	 .391307	 .000000	 102.595
0	-20.341	5.229	55	3	315	 63.6653	 23.0078	 6.45444	 .769853	 1.77042	 .228134	 2.12371	 .160844	 4.76211	 .198585	 .000000	 103.141
0	-20.3405	5.229	56	3	316	 63.7374	 24.2864	 6.91536	 .650849	 1.64207	 .268932	 2.35428	 -.12206	 5.45558	 .223148	 .000000	 105.412
0	-20.34	5.229	57	3	317	 60.8797	 24.5943	 8.10490	 .204952	 1.03885	 -.01759	 1.38204	 .067370	 5.09052	 .301333	 .000000	 101.646
0	-20.3395	5.229	58	3	318	 59.3224	 26.0718	 7.72068	 .145900	 .968091	 .146404	 1.47076	 -.02673	 5.76961	 .143344	 .000000	 101.732
0	-20.339	5.229	59	3	319	 60.1271	 26.2597	 8.58585	 .085387	 .938931	 .023339	 1.41746	 -.06478	 5.40005	 .062204	 .000000	 102.835
0	-20.3385	5.229	60	3	320	 58.9763	 24.8691	 8.16270	 .025688	 .796687	 .064395	 1.39989	 .010861	 5.49464	 .017165	 .000000	 99.8174
0	-20.338	5.229	61	3	321	 57.8501	 25.8963	 7.93812	 .266016	 .813314	 .146273	 1.24062	 -.00776	 5.84183	 .178011	 .000000	 100.163
0	-20.3375	5.229	62	3	322	 58.5221	 26.3583	 8.55891	 .204824	 .801024	 -.05856	 1.38150	 .029544	 5.35428	 .153628	 .000000	 101.306
0	-20.337	5.229	63	3	323	 57.6851	 27.0062	 8.75967	 .176187	 .598120	 -.01752	 1.18752	 -.08338	 5.74643	 .108751	 .000000	 101.167
0	-20.3365	5.229	64	3	324	 58.4755	 26.6363	 8.28320	 .297484	 .774841	 -.01734	 .869602	 -.04515	 5.97998	 .143472	 .000000	 101.398
0	-20.336	5.229	65	3	325	 58.9868	 26.7513	 8.80125	 .296761	 .691494	 .023437	 .975325	 -.04538	 6.52368	 .041440	 .000000	 103.046
0	-20.3355	5.229	66	3	326	 59.6714	 25.8605	 7.84228	 .237332	 .786828	 .023709	 .993559	 .068224	 6.05029	 .052392	 .000000	 101.587
0	-20.335	5.229	67	3	327	 60.1194	 25.7371	 8.24619	 .027891	 .671099	 .023723	 1.01157	 -.00727	 6.42317	 .087459	 .000000	 102.340
0	-20.3345	5.229	68	3	328	 59.3401	 25.7357	 8.04296	 .086786	 .852149	 -.01739	 1.27645	 -.06425	 6.27904	 -.01603	 .000000	 101.516
0	-20.334	5.229	69	3	329	 59.5534	 26.0474	 8.22364	 .236882	 .884840	 .105428	 1.04631	 -.00754	 6.19554	 .121230	 .000000	 102.407
